slot_id,purpose,start_hour,day_of_week,duration_seconds
S07,work,19,0,18900
S12,cinema,16,2,9660
S09,shopping,19,4,3780
S06,work,10,6,17760
S04,other,15,1,2700
S09,cinema,7,4,9120
S19,cinema,22,5,8760
S03,eating,16,6,1320
S09,shopping,14,5,2400
S20,eating,13,2,3840
S11,other,18,4,1620
S02,work,22,2,12660
S16,shopping,10,0,6120
S07,eating,8,1,2160
S03,work,16,4,17100
S09,work,10,2,22560
S07,work,18,4,11820
S01,work,17,2,11640
S17,cinema,10,2,13020
S05,eating,21,4,1560
S05,cinema,23,2,11100
S09,work,13,3,23760
S09,eating,12,1,4380
S07,work,10,1,15360
S03,other,19,2,2040
S12,eating,7,6,4260
S03,work,15,3,7680
S19,cinema,23,1,14220
S07,eating,11,3,2400
S16,eating,8,2,1680
S02,other,10,5,1020
S18,eating,10,2,2520
S04,work,17,2,21300
S17,work,20,5,9900
S01,other,15,5,3180
S06,work,23,6,13380
S02,work,15,0,15060
S08,eating,7,1,1980
S09,work,16,6,25740
S13,other,14,0,2520
S09,cinema,8,5,3900
S02,work,11,6,13080
S17,cinema,22,5,15060
S01,work,7,6,19800
S12,eating,16,5,5580
S07,cinema,14,2,9300
S03,eating,15,6,4680
S16,eating,7,2,3960
S18,shopping,23,5,3360
S17,shopping,11,6,4320
S05,eating,13,2,4020
S07,shopping,21,5,6180
S17,work,22,4,60
S19,eating,19,0,2640
S05,eating,12,5,2220
S20,shopping,19,1,5280
S15,eating,8,5,4560
S10,other,17,5,2520
S01,eating,16,2,4200
S01,eating,19,4,5100
S19,work,17,4,25200
S03,cinema,10,2,14400
S01,eating,22,1,2880
S20,shopping,8,2,4500
S15,work,13,1,13980
S05,cinema,18,3,12960
S11,other,9,0,2220
S04,shopping,12,2,3660
S03,other,18,2,1680
S12,other,10,6,2040
S05,shopping,20,3,5880
S14,eating,18,3,1440
S16,other,16,6,720
S12,eating,17,0,3960
S10,cinema,14,5,9060
S02,eating,11,5,1320
S20,work,7,6,9540
S02,other,20,0,2100
S08,shopping,13,3,2100
S04,work,21,0,20700
S10,shopping,16,4,4860
S14,work,10,6,25320
S06,shopping,20,0,6660
S04,other,12,4,1860
S10,shopping,21,4,7560
S04,shopping,15,2,2460
S10,work,14,6,12720
S09,work,18,5,9900
S19,eating,9,5,3420
S14,shopping,21,4,9420
S13,shopping,14,3,6060
S15,work,9,0,10320
S01,cinema,20,5,240
S19,other,13,3,600
S02,cinema,7,0,6180
S19,eating,12,1,2580
S20,work,10,5,19320
S14,cinema,14,5,15240
S02,cinema,18,3,20220
S12,work,14,4,26400
S05,work,8,4,27360
S12,cinema,19,6,12840
S01,eating,16,0,3180
S14,other,9,0,1140
S02,shopping,14,6,6000
S14,shopping,10,5,8940
S16,shopping,22,3,8100
S20,eating,20,3,5280
S13,eating,21,1,5220
S06,other,20,2,2700
S06,shopping,8,3,5940
S19,eating,23,4,6300
S19,other,23,3,2460
S15,eating,13,0,4500
S10,other,12,3,1560
S06,work,23,4,18240
S12,work,8,3,26280
S19,shopping,14,3,4680
S03,other,21,1,2040
S11,eating,12,3,5100
S01,other,7,5,900
S01,cinema,21,6,3960
S10,cinema,18,2,10440
S18,shopping,7,1,2160
S17,other,23,1,1440
S18,shopping,8,2,3240
S15,work,8,6,9660
S13,shopping,17,5,60
S19,eating,23,6,3900
S01,eating,9,5,4200
S13,eating,19,2,3420
S03,work,7,4,13380
S14,work,8,2,15840
S12,other,14,5,60
S09,work,15,3,7740
S18,shopping,20,6,5400
S18,shopping,7,3,6900
S18,work,23,1,14220
S16,cinema,15,3,5580
S06,work,18,2,17580
S14,shopping,20,6,1200
S11,other,15,3,1020
S01,shopping,22,6,2700
S20,other,17,3,360
S06,work,13,0,12000
S03,cinema,14,4,9720
S05,cinema,20,1,15420
S05,shopping,18,3,5400
S11,shopping,18,6,6060
S05,work,9,5,20340
S20,cinema,21,0,13500
S06,eating,14,2,3240
S02,eating,9,4,2340
S20,eating,13,6,3180
S20,cinema,14,2,7800
S03,shopping,11,3,3060
S17,work,11,0,17220
S05,cinema,10,6,8940
S16,other,8,1,1800
S13,eating,7,4,3420
S04,other,10,2,2100
S02,shopping,9,0,2400
S18,work,19,0,14760
S13,shopping,18,3,7200
S01,cinema,12,6,11400
S14,work,8,4,20820
S03,eating,20,1,5940
S19,work,21,0,21240
S09,eating,23,4,2280
S19,other,12,2,2220
S09,eating,11,0,4080
S02,work,23,3,19740
S17,cinema,21,5,12300
S13,work,22,0,11400
S19,shopping,16,6,5460
S01,other,13,6,2400
S08,work,22,0,22080
S12,eating,15,3,2040
S09,eating,7,3,3360
S17,shopping,21,2,4500
S14,shopping,22,0,8580
S05,cinema,20,6,10620
S15,work,12,2,13560
